group,names,scores,logfoldchanges,pvals,pvals_adj
CD14+ Monocytes,FBXO25,-21.14251,,3.234142643871165e-99,3.0655380510627154e-98
CD14+ Monocytes,CLPX,-21.14632,,2.9832008071385334e-99,2.8411436258462222e-98
CD14+ Monocytes,TBXA2R,-21.19158,,1.1419988898378586e-99,1.1087367862503482e-98
CD14+ Monocytes,NELFB,-21.218735,,6.412531731726022e-100,6.3806285887821105e-99
CD14+ Monocytes,TMEM62,-21.229626,,5.086675548072855e-100,5.086675548072855e-99
CD14+ Monocytes,RPPH1,-21.246265,,3.56954034756089e-100,3.6055963106675657e-99
CD14+ Monocytes,BAMBI,-21.278593,0.55684227,1.792394479569179e-100,1.8196898269737858e-99
CD14+ Monocytes,EVA1B,-21.282711,,1.6417051625626406e-100,1.675209349553715e-99
CD14+ Monocytes,ARMC7,-21.293669,,1.299472256427264e-100,1.332792057874117e-99
CD14+ Monocytes,PPP2R3C,-21.302788,,1.0696104719862865e-100,1.1026912082332851e-99
CD14+ Monocytes,RP11-792A8.4,-21.372889,,2.388853260758498e-101,2.5145823797457876e-100
CD14+ Monocytes,SRGAP1,-21.37847,2.0306106,2.119668238533736e-101,2.2430351730515724e-100
CD14+ Monocytes,C19orf52,-21.392729,,1.5615406429812635e-101,1.6700969443649877e-100
CD14+ Monocytes,ITGA2B,-21.452076,2.9184868,4.367269217482689e-102,4.747031758133358e-101
CD14+ Monocytes,SLC16A5,-21.4598,,3.698913949446552e-102,4.0425289064989646e-101
CD14+ Monocytes,C14orf80,-21.460548,,3.639835236152133e-102,3.99981894082652e-101
CD14+ Monocytes,ELL,-21.471779,,2.858676627009408e-102,3.158758703877799e-101
CD14+ Monocytes,PCNA,-21.564644,,3.8587006066513215e-103,4.335618659158788e-102
CD14+ Monocytes,CTBP2,-21.5853,,2.4687887902370227e-103,2.8214729031280262e-102
CD14+ Monocytes,GNG11,-21.58918,,2.270055288148335e-103,2.609258951894638e-102
CD14+ Monocytes,MFSD10,-21.609325,,1.4677778239691301e-103,1.6968529756868557e-102
CD14+ Monocytes,ALKBH4,-21.640564,,7.458501174901031e-104,8.723393187018749e-103
CD14+ Monocytes,PCYT1A,-21.651249,,5.915472020527384e-104,6.959378847679275e-103
CD14+ Monocytes,HAVCR2,-21.658634,,5.0395830289293945e-104,5.964003584531828e-103
CD14+ Monocytes,NAIP,-21.677725,,3.3293916706919856e-104,3.9872954140023776e-103
CD14+ Monocytes,AF213884.2,-21.682795,-0.5665408,2.98210522645342e-104,3.5928978631968916e-103
CD14+ Monocytes,LINC00884,-21.707739,-0.369524,1.7338205802720538e-104,2.1273872150577346e-103
CD14+ Monocytes,C2orf76,-21.716722,,1.4259778460133457e-104,1.760466476559686e-103
CD14+ Monocytes,NF1,-21.76433,-1.5912266,5.054392929119129e-105,6.317991161398912e-104
CD14+ Monocytes,PKN2,-21.80234,,2.2045355777168134e-105,2.7730007266878156e-104
CD14+ Monocytes,TIGIT,-21.846102,,8.465823459287444e-106,1.0784488483168718e-104
CD14+ Monocytes,SEPT5,-21.869753,3.0067043,5.043045126750875e-106,6.5071550022591936e-105
CD14+ Monocytes,TMEM234,-21.883533,,3.728032876158202e-106,4.8416011378677944e-105
CD14+ Monocytes,ST20,-21.94938,,8.778824650862559e-107,1.155108506692442e-105
CD14+ Monocytes,AGO4,-21.95942,,7.03919637433817e-107,9.323438906408173e-106
CD14+ Monocytes,RP11-701P16.5,-22.01584,-5.6807284,2.030697755237574e-107,2.7441861557264513e-106
CD14+ Monocytes,TMEM140,-22.01727,,1.9676657928230147e-107,2.6770963167660066e-106
CD14+ Monocytes,SIGLEC12,-22.04041,,1.180637327794561e-107,1.6397740663813348e-106
CD14+ Monocytes,GLYCTK,-22.043404,,1.1050743890335165e-107,1.5455585860608622e-106
CD14+ Monocytes,BTN3A1,-22.048372,,9.902060162518767e-108,1.3946563609181364e-106
CD14+ Monocytes,DUSP10,-22.06845,,6.353220113225331e-108,9.011659735071393e-107
CD14+ Monocytes,PGF,-22.09295,-5.9289923,3.694530472564666e-108,5.27790067509238e-107
CD14+ Monocytes,C17orf59,-22.110239,,2.519361458083972e-108,3.677899938808718e-107
CD14+ Monocytes,WLS,-22.169382,,6.783631006083121e-109,1.0049823712715735e-107
CD14+ Monocytes,CYTL1,-22.1866,,4.626769915155073e-109,6.905626739037422e-108
CD14+ Monocytes,CTD-2537I9.12,-22.186668,-1.9906225,4.619774666945787e-109,6.905626739037422e-108
CD14+ Monocytes,CEACAM4,-22.19681,,3.6871344447373653e-109,5.586567340511159e-108
CD14+ Monocytes,NKG7,-22.219812,,2.2098850320602424e-109,3.3998231262465265e-108
CD14+ Monocytes,ACY3,-22.27038,2.5561376,7.15905397928422e-110,1.1274100754778299e-108
CD14+ Monocytes,C5orf56,-22.282358,,5.479468071681886e-110,8.697568367749026e-109
CD14+ Monocytes,IQCE,-22.284536,,5.219386938888992e-110,8.351019102222388e-109
CD14+ Monocytes,AP001189.4,-22.28481,7.0126767,5.187755345956177e-110,8.351019102222388e-109
CD14+ Monocytes,KLRC1,-22.288961,,4.728412829357119e-110,7.688476145296128e-109
CD14+ Monocytes,SPARC,-22.326324,2.6250143,2.0511731293118604e-110,3.5062788535245474e-109
CD14+ Monocytes,TRIP12,-22.366549,,8.33420899127046e-111,1.4369325847018033e-109
CD14+ Monocytes,CLSTN3,-22.374578,,6.961217159788487e-111,1.2106464625719107e-109
CD14+ Monocytes,APOBEC3H,-22.38734,,5.228802637562239e-111,9.173337960635506e-110
CD14+ Monocytes,NXT2,-22.422083,,2.3969752678013112e-111,4.3581368505478387e-110
CD14+ Monocytes,HBQ1,-22.425215,4.5339274,2.2341631169018988e-111,4.0993818658750436e-110
CD14+ Monocytes,MTERFD1,-22.426712,,2.16024565475993e-111,4.0378423453456636e-110
CD14+ Monocytes,APOBEC3G,-22.443863,,1.4691394240713242e-111,2.7719611774930644e-110
CD14+ Monocytes,TYW5,-22.455433,,1.132492554211974e-111,2.1778702965614884e-110
CD14+ Monocytes,GPR153,-22.47932,2.3338583,6.6142850789392815e-112,1.2843271997940353e-110
CD14+ Monocytes,TREML1,-22.496744,,4.466698841678981e-112,8.844948201344517e-111
CD14+ Monocytes,GNLY,-22.508245,,3.446358190122346e-112,6.892716380244692e-111
CD14+ Monocytes,KCTD10,-22.605911,,3.7907592670103577e-113,7.897415139604912e-112
CD14+ Monocytes,KRT23,-22.617752,-1.8518671,2.898722096676502e-113,6.102572835108425e-112
CD14+ Monocytes,PRR5L,-22.630276,,2.1823494774646125e-113,4.744237994488288e-112
CD14+ Monocytes,CKB,-22.654165,,1.2692916722755641e-113,2.789652026979262e-112
CD14+ Monocytes,AAGAB,-22.675808,,7.764493413313076e-114,1.7448299805197923e-112
CD14+ Monocytes,S100B,-22.722155,,2.706005025512102e-114,6.150011421618414e-113
CD14+ Monocytes,GTPBP2,-22.72668,,2.4410450917969108e-114,5.611597912176806e-113
CD14+ Monocytes,CTC-378H22.1,-22.733215,4.0436234,2.1035585261946502e-114,4.8919965725456986e-113
CD14+ Monocytes,DAB2,-22.780073,,7.226985396962029e-115,1.720710808800483e-113
CD14+ Monocytes,SLC6A12,-22.780413,2.005728,7.171071796850107e-115,1.720710808800483e-113
CD14+ Monocytes,GPRC5C,-22.80478,,4.110921499918768e-115,1.0026637804679923e-113
CD14+ Monocytes,RHEBL1,-22.83738,,1.9508259875458325e-115,4.877064968864581e-114
CD14+ Monocytes,JAZF1,-22.856298,,1.2651080958896063e-115,3.243866912537452e-114
CD14+ Monocytes,B4GALT4,-22.866848,,9.935493248921074e-116,2.580647597122357e-114
CD14+ Monocytes,SAMD3,-22.875288,,8.1884959565828e-116,2.1548673569954738e-114
CD14+ Monocytes,CD160,-22.889648,,5.891457063669138e-116,1.5784287651874237e-114
CD14+ Monocytes,ZBP1,-22.8922,,5.556508351293099e-116,1.5223310551487944e-114
CD14+ Monocytes,QPRT,-23.012018,,3.5334981502915785e-117,1.009507536455415e-115
CD14+ Monocytes,RP11-305L7.3,-23.015556,3.2036445,3.2566139756692435e-117,9.439460799041285e-116
CD14+ Monocytes,HBA1,-23.052649,,1.3836173205394893e-117,4.1927797592105736e-116
CD14+ Monocytes,IL1RAP,-23.054045,0.9202445,1.3397417258421637e-117,4.122282233360504e-116
CD14+ Monocytes,C5AR2,-23.074156,1.2049825,8.417747212528736e-118,2.6305460039152303e-116
CD14+ Monocytes,LINC01146,-23.086746,-0.10274165,6.291474586255693e-118,1.997293519446252e-116
CD14+ Monocytes,TPST2,-23.13888,,1.8813817788848952e-118,6.0689734802738555e-117
CD14+ Monocytes,LY6G6F,-23.139492,5.059831,1.8548553022906979e-118,6.0689734802738555e-117
